close,time,high,low,open
1838.85,2025-04-03 12:10:00,1839.81,1836.91,1838.21
1840.11,2025-04-03 12:11:00,1841.46,1838.06,1839.11
1839.74,2025-04-03 12:12:00,1840.51,1838.95,1840.5
1841.36,2025-04-03 12:13:00,1841.66,1838.9,1839.13
1843.72,2025-04-03 12:14:00,1844.12,1841.69,1841.97
1842.58,2025-04-03 12:15:00,1845.06,1841.52,1843.82
1841.75,2025-04-03 12:16:00,1843.46,1841.73,1842.6
1843.51,2025-04-03 12:17:00,1843.51,1840.29,1841.88
1844.89,2025-04-03 12:18:00,1844.93,1842.17,1843.4
1845.51,2025-04-03 12:19:00,1846.0,1843.52,1844.58
1846.9,2025-04-03 12:20:00,1847.07,1843.79,1845.03
1848.18,2025-04-03 12:21:00,1849.27,1846.06,1847.7
1848.92,2025-04-03 12:22:00,1848.92,1845.39,1847.78
1850.99,2025-04-03 12:23:00,1850.99,1848.95,1849.37
1847.67,2025-04-03 12:24:00,1851.83,1846.59,1851.82
1847.94,2025-04-03 12:25:00,1849.99,1847.04,1847.04
1843.22,2025-04-03 12:26:00,1848.02,1842.91,1848.02
1841.87,2025-04-03 12:27:00,1844.68,1840.44,1842.9
1840.94,2025-04-03 12:28:00,1842.51,1840.86,1842.28
1842.36,2025-04-03 12:29:00,1842.42,1839.34,1840.86
1843.06,2025-04-03 12:30:00,1843.77,1841.15,1842.54
1841.55,2025-04-03 12:31:00,1842.59,1839.97,1842.43
1843.19,2025-04-03 12:32:00,1843.19,1839.81,1841.09
1843.52,2025-04-03 12:33:00,1844.73,1841.28,1842.97
1842.75,2025-04-03 12:34:00,1843.42,1839.24,1843.42
1840.48,2025-04-03 12:35:00,1844.63,1839.63,1842.65
1839.19,2025-04-03 12:36:00,1839.85,1838.1,1839.85
1841.71,2025-04-03 12:37:00,1842.27,1838.24,1838.58
1840.55,2025-04-03 12:38:00,1842.07,1840.55,1841.51
1839.93,2025-04-03 12:39:00,1841.09,1838.22,1840.1
1841.31,2025-04-03 12:40:00,1841.82,1839.82,1839.82
1843.39,2025-04-03 12:41:00,1844.63,1840.95,1841.74
1844.83,2025-04-03 12:42:00,1844.83,1841.7,1844.06
1847.67,2025-04-03 12:43:00,1848.32,1845.27,1845.27
1845.73,2025-04-03 12:44:00,1849.13,1845.23,1847.81
1846.43,2025-04-03 12:45:00,1848.34,1844.98,1845.86
1848.34,2025-04-03 12:46:00,1850.01,1846.42,1847.09
1848.03,2025-04-03 12:47:00,1848.96,1844.39,1848.96
1850.51,2025-04-03 12:48:00,1850.84,1847.28,1848.17
1849.36,2025-04-03 12:49:00,1850.54,1846.86,1850.54
1845.24,2025-04-03 12:50:00,1849.27,1844.75,1849.27
1845.93,2025-04-03 12:51:00,1847.09,1845.19,1845.38
1842.13,2025-04-03 12:52:00,1845.07,1840.74,1845.07
1843.76,2025-04-03 12:53:00,1845.55,1841.44,1841.85
1847.2,2025-04-03 12:54:00,1847.2,1843.73,1844.15
1853.45,2025-04-03 12:55:00,1853.6,1846.15,1846.88
1853.01,2025-04-03 12:56:00,1853.62,1852.15,1853.3
1853.28,2025-04-03 12:57:00,1854.21,1852.66,1852.66
1855.78,2025-04-03 12:58:00,1856.26,1852.8,1852.8
1856.39,2025-04-03 12:59:00,1857.78,1855.82,1855.87
1853.55,2025-04-03 13:00:00,1856.62,1851.62,1856.57
1856.51,2025-04-03 13:01:00,1857.53,1853.55,1853.95
1855.57,2025-04-03 13:02:00,1856.55,1854.16,1856.55
1856.04,2025-04-03 13:03:00,1856.97,1854.16,1855.95
1858.86,2025-04-03 13:04:00,1858.86,1855.38,1856.36
1860.44,2025-04-03 13:05:00,1863.66,1858.57,1858.57
1864.49,2025-04-03 13:06:00,1864.71,1860.09,1860.09
1863.93,2025-04-03 13:07:00,1865.57,1863.3,1865.05
1864.94,2025-04-03 13:08:00,1865.29,1862.68,1864.58
1866.27,2025-04-03 13:09:00,1866.82,1863.6,1865.0
1869.22,2025-04-03 13:10:00,1869.22,1864.27,1866.15
1870.57,2025-04-03 13:11:00,1873.12,1869.66,1869.66
1869.14,2025-04-03 13:12:00,1871.07,1869.0,1870.72
1866.88,2025-04-03 13:13:00,1870.12,1866.53,1869.42
1867.8,2025-04-03 13:14:00,1869.89,1867.04,1867.04
1868.59,2025-04-03 13:15:00,1868.85,1866.86,1868.1
1868.54,2025-04-03 13:16:00,1868.55,1866.25,1868.55
1868.41,2025-04-03 13:17:00,1868.98,1865.23,1867.98
1864.28,2025-04-03 13:18:00,1868.51,1864.28,1868.51
1861.58,2025-04-03 13:19:00,1863.52,1861.57,1863.52
1857.61,2025-04-03 13:20:00,1861.64,1857.12,1861.64
1855.42,2025-04-03 13:21:00,1857.99,1855.3,1857.38
1856.62,2025-04-03 13:22:00,1856.67,1854.1,1855.81
1850.85,2025-04-03 13:23:00,1857.14,1849.34,1857.14
1853.65,2025-04-03 13:24:00,1853.65,1850.83,1850.99
1852.36,2025-04-03 13:25:00,1854.4,1852.23,1854.27
1853.02,2025-04-03 13:26:00,1853.76,1849.48,1852.51
1850.97,2025-04-03 13:27:00,1853.07,1849.13,1853.04
1851.98,2025-04-03 13:28:00,1853.57,1849.86,1850.49
1850.03,2025-04-03 13:29:00,1852.18,1849.98,1851.43
1849.46,2025-04-03 13:30:00,1850.98,1848.62,1850.52
1847.53,2025-04-03 13:31:00,1849.42,1846.99,1848.58
1848.36,2025-04-03 13:32:00,1848.7,1846.09,1847.4
1844.73,2025-04-03 13:33:00,1848.35,1844.63,1847.48
1841.76,2025-04-03 13:34:00,1845.19,1841.63,1844.64
1840.2,2025-04-03 13:35:00,1842.21,1840.2,1841.95
1841.27,2025-04-03 13:36:00,1843.24,1840.43,1840.54
1835.96,2025-04-03 13:37:00,1840.23,1835.74,1840.23
1838.33,2025-04-03 13:38:00,1838.59,1834.87,1836.64
1840.87,2025-04-03 13:39:00,1840.87,1837.02,1838.17
1843.07,2025-04-03 13:40:00,1843.66,1839.72,1840.84
1842.27,2025-04-03 13:41:00,1844.17,1841.72,1843.26
1843.68,2025-04-03 13:42:00,1843.96,1840.95,1841.42
1842.01,2025-04-03 13:43:00,1843.86,1841.17,1843.11
1844.91,2025-04-03 13:44:00,1844.91,1841.42,1841.73
1848.57,2025-04-03 13:45:00,1848.57,1844.57,1844.57
1850.5,2025-04-03 13:46:00,1851.12,1847.67,1848.73
1853.47,2025-04-03 13:47:00,1853.47,1850.27,1850.27
1857.99,2025-04-03 13:48:00,1858.72,1853.59,1853.59
1857.18,2025-04-03 13:49:00,1858.5,1854.87,1857.77
1857.72,2025-04-03 13:50:00,1857.72,1855.77,1856.5
1859.45,2025-04-03 13:51:00,1860.5,1857.57,1857.63
1861.75,2025-04-03 13:52:00,1861.76,1858.44,1859.29
1862.02,2025-04-03 13:53:00,1862.02,1859.9,1860.75
1863.22,2025-04-03 13:54:00,1864.28,1861.85,1861.85
1865.02,2025-04-03 13:55:00,1867.41,1863.31,1863.85
1865.52,2025-04-03 13:56:00,1866.04,1864.27,1865.12
1863.1,2025-04-03 13:57:00,1865.44,1860.61,1865.44
1858.48,2025-04-03 13:58:00,1862.77,1857.96,1862.77
1859.03,2025-04-03 13:59:00,1860.31,1857.85,1858.38
1857.93,2025-04-03 14:00:00,1860.41,1856.98,1859.25
1857.68,2025-04-03 14:01:00,1858.88,1856.85,1857.37
1855.49,2025-04-03 14:02:00,1857.52,1855.31,1857.52
1853.61,2025-04-03 14:03:00,1855.71,1853.31,1855.68
1854.63,2025-04-03 14:04:00,1856.28,1851.85,1853.58
1851.69,2025-04-03 14:05:00,1854.96,1851.2,1854.46
1853.16,2025-04-03 14:06:00,1853.49,1850.85,1851.58
1851.22,2025-04-03 14:07:00,1854.95,1850.83,1853.65
1851.46,2025-04-03 14:08:00,1851.46,1847.93,1850.8
1850.96,2025-04-03 14:09:00,1851.63,1848.63,1851.26
1848.71,2025-04-03 14:10:00,1850.75,1848.55,1850.65
1854.22,2025-04-03 14:11:00,1854.67,1849.41,1849.41
1853.92,2025-04-03 14:12:00,1854.8,1852.29,1854.32
1852.73,2025-04-03 14:13:00,1855.45,1851.51,1854.47
1852.83,2025-04-03 14:14:00,1855.08,1851.92,1851.92
1853.62,2025-04-03 14:15:00,1854.46,1851.31,1853.66
1854.33,2025-04-03 14:16:00,1855.01,1852.86,1853.43
1851.04,2025-04-03 14:17:00,1853.93,1850.16,1853.93
1845.89,2025-04-03 14:18:00,1851.15,1845.35,1851.08
1849.13,2025-04-03 14:19:00,1851.48,1846.99,1846.99
1849.04,2025-04-03 14:20:00,1850.15,1846.88,1848.77
1847.74,2025-04-03 14:21:00,1851.54,1847.74,1848.71
1846.1,2025-04-03 14:22:00,1848.09,1846.1,1847.66
1845.89,2025-04-03 14:23:00,1847.94,1845.58,1846.42
1842.76,2025-04-03 14:24:00,1846.44,1841.75,1846.23
1839.51,2025-04-03 14:25:00,1842.98,1839.51,1842.83
1837.92,2025-04-03 14:26:00,1840.62,1837.92,1839.31
1842.52,2025-04-03 14:27:00,1842.52,1838.0,1838.17
1843.25,2025-04-03 14:28:00,1844.27,1840.46,1842.27
1835.6,2025-04-03 14:29:00,1842.73,1835.6,1842.73
1837.15,2025-04-03 14:30:00,1837.15,1833.13,1835.34
1836.36,2025-04-03 14:31:00,1839.16,1836.16,1836.9
1835.28,2025-04-03 14:32:00,1837.4,1834.99,1836.65
1831.08,2025-04-03 14:33:00,1836.1,1830.38,1836.0
1829.8,2025-04-03 14:34:00,1832.71,1829.7,1831.26
1824.45,2025-04-03 14:35:00,1829.49,1824.45,1829.38
1823.27,2025-04-03 14:36:00,1825.72,1821.68,1824.34
1824.37,2025-04-03 14:37:00,1825.53,1822.71,1823.42
1824.35,2025-04-03 14:38:00,1825.1,1822.99,1823.59
1822.48,2025-04-03 14:39:00,1824.34,1821.7,1824.34
1820.16,2025-04-03 14:40:00,1823.39,1819.74,1821.85
1822.68,2025-04-03 14:41:00,1823.7,1820.93,1821.07
1818.32,2025-04-03 14:42:00,1822.33,1817.86,1822.14
1818.59,2025-04-03 14:43:00,1819.46,1815.99,1818.55
1817.56,2025-04-03 14:44:00,1819.64,1816.31,1818.49
1821.24,2025-04-03 14:45:00,1821.45,1816.65,1817.79
1825.98,2025-04-03 14:46:00,1825.98,1821.21,1821.72
1826.18,2025-04-03 14:47:00,1827.99,1825.82,1826.38
1829.28,2025-04-03 14:48:00,1829.31,1825.3,1826.03
1827.99,2025-04-03 14:49:00,1830.44,1826.57,1828.75
1829.29,2025-04-03 14:50:00,1830.55,1827.58,1828.51
1830.02,2025-04-03 14:51:00,1831.19,1828.04,1828.04
1830.29,2025-04-03 14:52:00,1831.63,1828.25,1829.78
1832.57,2025-04-03 14:53:00,1832.71,1829.87,1831.53
1832.34,2025-04-03 14:54:00,1833.66,1831.64,1832.59
1829.47,2025-04-03 14:55:00,1832.3,1827.25,1832.26
